極: キョク、ゴク
玉: ギョク
僅: キン、ゴン
勤: キン、ゴン
均: キン
巾: キン、フク
錦: キン
斤: キン
琴: キン、ゴン
禁: キン
筋: キン
緊: キン
菌: キン
襟: キン
謹: キン
近: キン、コン
金: キン、コン、ゴン
吟: ギン
銀: ギン
九: キュウ、ク
句: ク
区: ク、オウ、コウ
苦: ク
駆: ク
駒: ク
具: グ
愚: グ
虞: グ
空: クウ
偶: グウ
遇: グウ
隅: グウ
串: カン、ケン、セン
屈: クツ
掘: クツ
窟: クツ、コツ
靴: カ
熊: ユウ
繰: ソウ
桑: ソウ
勲: クン
君: クン
薫: クン
訓: クン、キン
群: グン
軍: グン
郡: グン
係: ケイ
傾: ケイ
刑: ケイ
兄: ケイ、キョウ
啓: ケイ
型: ケイ
契: ケイ
形: ケイ、ギョウ
径: ケイ
恵: ケイ、エ
慶: ケイ
憩: ケイ
掲: ケイ
携: ケイ
敬: ケイ、キョウ
景: ケイ
渓: ケイ
稽: ケイ
系: ケイ
経: ケイ、キョウ、キン
継: ケイ
茎: ケイ、キョウ
蛍: ケイ
計: ケイ
詣: ケイ、ゲイ
警: ケイ
軽: ケイ、キョウ、キン
鶏: ケイ
芸: ゲイ、ウン
迎: ゲイ
鯨: ゲイ
劇: ゲキ
撃: ゲキ
激: ゲキ
隙: ゲキ、キャク、ケキ
桁: コウ
傑: ケツ
欠: ケツ、ケン
決: ケツ
潔: ケツ
穴: ケツ
結: ケツ、ケチ
血: ケツ
月: ゲツ、ガツ
件: ケン
倹: ケン
健: ケン
兼: ケン
券: ケン
剣: ケン
圏: ケン
堅: ケン
嫌: ケン、ゲン
建: ケン、コン
憲: ケン
懸: ケン、ケ
拳: ケン、ゲン
検: ケン
権: ケン、ゴン
犬: ケン
献: ケン、コン
研: ケン
絹: ケン
県: ケン
肩: ケン
見: ケン
謙: ケン
賢: ケン
軒: ケン
遣: ケン
鍵: ケン
険: ケン
顕: ケン
験: ケン、ゲン
元: ゲン、ガン
原: ゲン
厳: ゲン、ゴン
幻: ゲン
弦: ゲン
減: ゲン
源: ゲン
玄: ゲン
現: ゲン
舷: ゲン
言: ゲン、ゴン
限: ゲン
個: コ、カ
古: コ
呼: コ
固: コ
孤: コ
己: コ、キ
庫: コ、ク
弧: コ
戸: コ
故: コ
枯: コ
湖: コ
股: コ
虎: コ
誇: コ
雇: コ
顧: コ
鼓: コ
五: ゴ
互: ゴ
午: ゴ
呉: ゴ
娯: ゴ
後: ゴ、コウ
御: ギョ、ゴ
悟: ゴ
碁: ゴ
語: ゴ
誤: ゴ
護: ゴ
乞: コツ、キツ、キ、キケ、コチ
交: コウ
侯: コウ
候: コウ
光: コウ
公: コウ、ク
功: コウ、ク
効: コウ
勾: コウ、ク
厚: コウ
口: コウ、ク
向: コウ
后: コウ、ゴ
喉: コウ
坑: コウ
好: コウ
孔: コウ、ク
孝: コウ、キョウ
工: コウ、ク、グ
巧: コウ
幸: コウ
広: コウ
康: コウ
恒: コウ
慌: コウ
抗: コウ
拘: コウ
控: コウ
攻: コウ
更: コウ
校: コウ、キョウ
梗: コウ、キョウ
構: コウ
江: コウ
洪: コウ
港: コウ
溝: コウ
甲: コウ、カン
皇: コウ、オウ
硬: コウ
稿: コウ
紅: コウ、ク
絞: コウ
綱: コウ
耕: コウ
考: コウ
肯: コウ
航: コウ
荒: コウ
行: コウ、ギョウ、アン
衡: コウ
講: コウ
貢: コウ、ク
購: コウ
郊: コウ
酵: コウ
鉱: コウ
鋼: コウ
降: コウ、ゴ
項: コウ
香: コウ、キョウ
高: コウ
剛: ゴウ
号: ゴウ
合: ゴウ、ガッ、カッ
拷: ゴウ
豪: ゴウ
克: コク
刻: コク
告: コク
国: コク
穀: コク
酷: コク
黒: コク
獄: ゴク
腰: ヨウ
骨: コツ
頃: ケイ、キョウ
今: コン、キン
困: コン
墾: コン
婚: コン
恨: コン
懇: コン
昆: コン
根: コン
混: コン
痕: コン
紺: コン
魂: コン
佐: サ
唆: サ
左: サ、シャ
差: サ
査: サ
沙: サ、シャ
砂: サ、シャ
詐: サ
鎖: サ
座: ザ
挫: ザ、サ
債: サイ
催: サイ
再: サイ、サ
最: サイ、シュ
塞: ソク、サイ
妻: サイ
宰: サイ
彩: サイ
才: サイ
採: サイ
栽: サイ
歳: サイ、セイ
済: サイ、セイ
災: サイ
采: サイ
砕: サイ
祭: サイ
斎: サイ
細: サイ
菜: サイ
裁: サイ
載: サイ
際: サイ
剤: ザイ、スイ、セイ
在: ザイ
材: ザイ
罪: ザイ
財: ザイ、サイ、ゾク
坂: ハン
阪: ハン
咲: ショウ
崎: キ
埼: キ
作: サク、サ
削: サク
搾: サク
昨: サク
柵: サク、サン
策: サク
索: サク
錯: サク、シャク
桜: オウ、ヨウ
冊: サツ、サク
刷: サツ
察: サツ
拶: サツ
撮: サツ
擦: サツ
札: サツ
殺: サツ、サイ、セツ
雑: ザツ、ゾウ
皿: ベイ
三: サン、ゾウ
傘: サン
参: サン、シン
山: サン、セン
惨: サン、ザン
散: サン
桟: サン、セン
産: サン
算: サン
蚕: サン、テン
賛: サン
酸: サン
斬: ザン、サン、セン、ゼン
暫: ザン
残: ザン、サン
仕: シ、ジ
伺: シ
使: シ
刺: シ
司: シ
史: シ
嗣: シ
四: シ
士: シ
始: シ
姉: シ
姿: シ
子: シ、ス、ツ
市: シ
師: シ
志: シ
思: シ
指: シ
支: シ
施: シ、セ
旨: シ
枝: シ
止: シ
死: シ
氏: シ
祉: シ
私: シ
糸: シ
紙: シ
紫: シ
肢: シ
脂: シ
至: シ
視: シ
詞: シ
詩: シ
試: シ
誌: シ
諮: シ
資: シ
賜: シ
雌: シ
飼: シ
歯: シ
事: ジ、ズ
似: ジ
侍: ジ、シ
児: ジ、ニ、ゲイ
字: ジ
寺: ジ
慈: ジ
持: ジ
時: ジ
次: ジ、シ
滋: ジ、シ
治: ジ、チ
璽: ジ
磁: ジ
示: ジ、シ
耳: ジ
自: ジ、シ
辞: ジ
鹿: ロク
式: シキ
識: シキ
軸: ジク
七: シチ
