秒: 竹木火竹
病: 大一人月
品: 口口口
負: 弓月山金 * 尸竹月山金
部: 卜口弓中
服: 月尸中水
福: 戈火一口田
物: 竹手心竹竹
平: 一火十
返: 卜竹水
勉: 弓山大尸
放: 卜尸人大
味: 口十木
命: 人一口中
面: 一田尸中
問: 日弓口
役: 竹人竹弓水
薬: 
由: 中田
油: 水中田
有: 大月
遊: 卜卜尸木
予: 弓戈弓弓
羊: 井手
洋: 水井手
葉: 井心井木
陽: 弓中日一竹
様: 
落: 井水竹口
流: 水卜戈山
旅: 卜尸人竹女
両: 
緑: 
礼: 
列: 一弓中弓
練: 糸木田
路: 口一竹水口
和: 禾口
愛: 月月心水
案: 十女木
以: 女戈人
衣: 衣
位: 人卜廿
囲: 園井
胃: 田月
印: ヨ卩
英: 廿中大
栄: 
塩: 
億: 人卜井心
加: 大尸口
果: 井田木 * 田木
課: 卜口田木
芽: 井一女竹
貨: 人心月山金
改: 尸山人大
械: 木戈井
害: 十手十口 * 十手一口
街: 竹人土土弓
各: 竹水口
覚: 
完: 十一一山
官: 十口中口
管: 竹十口口
関: 
観: 
季: 竹木弓木
願: 一火一月金
希: 大大中月
紀: 女火尸山
喜: 土口井口
旗: 卜尸人井金
器: 口口戈大口
機: 木女戈戈
議: 卜口井土戈
求: 戈十水
泣: 水卜井
救: 戈水人大
給: 女火人一口
挙: 
漁: 水弓田火
鏡: 金卜井山
共: 井金
協: 十大尸尸 * 心大尸尸
競: 卜山卜井山
極: 木一水一
訓: 卜口中中中
軍: 月十田十
郡: 尸口弓中
径: 
型: 一弓土
景: 日卜口火
芸: 井一一戈
欠: 弓人
結: 女火土口
建: 弓大中手
固: 田十口
健: 人弓大手
験: 
功: 一大尸
好: 女弓木
候: 人中弓大
航: 竹卜卜竹弓
康: 戈中水
告: 竹土口
差: 井手一
菜: 井月木
最: 日尸十水
材: 木木竹
昨: 日人尸
札: 木山
刷: 尸月中弓
察: 十月人火
参: 
殺: 大金竹弓水 * 大木竹弓水
産: 
散: 井月人大
残: 
士: 十一
氏: 竹女心
史: 中大
司: 尸一口
試: 卜口戈心一
児: 
治: 水戈口
辞: 
種: 竹木竹十土
失: 竹手人
借: 人井日
周: 月土口 * 月手口
祝: 戈火口竹山
順: 中中中金
初: 中尸竹
松: 木金戈
笑: 竹ノ大
唱: 口日日
焼: 火十儿
象: 弓日心人
照: 日口火
賞: 火月口月金
臣: 尸中尸中
省: 火竹月山
信: 人卜一口
成: 戈竹尸
清: 水手一月
静: 
席: 戈井中月
積: 禾王貝
折: 手竹一中
節: 竹日戈中
説: 
浅: 
戦: 
選: 卜口山金
然: 月大火
争: 
倉: 人戈日口
巣: 
束: 木中
側: 人月金弓
続: 
卒: 卜人人十
孫: 弓木竹女火
帯: 
隊: 弓中井心人
達: 卜土井手
単: 
置: 田中十月一
仲: 人中
貯: 月金十一弓
兆: 中一山人
腸: 月日一竹
底: 戈竹心一
停: 人卜口弓
低: 人竹心一
的: 竹日心戈
典: 井月金
伝: 人一一戈
徒: 竹人土卜人
努: 女水大尸
灯: 
堂: 火月口土
働: 
特: 竹手土木戈
得: 竹人日一戈
毒: 手一田卜戈
熱: 土戈火
敗: 月金人大
梅: 木人田卜
念: 人戈弓心
博: 十戈月戈
飯: 人戈竹水
飛: 竹田弓人人 * 弓人竹井人
費: 中弓月山金
必: 心竹
票: 一田一一火
標: 木一田火
不: 一火
夫: 手人
付: 人木戈
府: 戈人木戈
兵: 人一金
副: 一田中弓
粉: 火木金尸竹
別: 口尸中弓
辺: 
変: 
便: 人一中大
包: 心口山
法: 水土戈
望: 卜月竹土
牧: 竹手人大
末: 木十
満: 
未: 十木
脈: 月竹竹女 * 月戈弓水
約: 女火心戈 * 女火心一
民: 口女心
無: 人井火
勇: 弓月大尸
要: 一田女
養: 井人戈日女
浴: 水金人口
利: 竹木中弓
陸: 弓中土金土
良: 戈日女
料: 火木卜十
量: 日一田土
輪: 十十人一月
類: 火大一月金
令: 人戈弓戈
歴: 
冷: 戈一人戈戈
例: 人一弓弓
連: 卜十田十
老: 十大心
労: 
録: 
圧: 
移: 竹木弓戈弓
因: 田大
永: 戈弓水
営: 
衛: 竹人木月弓 * 竹人木手弓
易: 日心竹竹
益: 井金月井
液: 水卜人大
演: 水十一金
応: 
往: 竹人卜土
桜: 
恩: 田大心
可: 一弓口
仮: 
価: 
河: 水一弓口
過: 卜月月口
賀: 大口月山金
快: 心木大
解: 弓月尸竹手 * 弓月井手
格: 木竹水口
確: 一口十人土 * 一口人月土
額: 十口一月金
刊: 一十中弓
眼: 月山日女
幹: 十十人一十
慣: 心田十金
基: 井金土
寄: 十大一口
規: 手人月山山
技: 手十水
義: 戈大 * 井土竹手戈 * 難戈大
逆: 卜井山
久: 弓人 * 難弓人
旧: 
居: 尸十口
許: 卜口人十
境: 土卜井山
均: 土心戈一 * 土心一一
句: 心口
群: 尸口井手
禁: 木木一一火
経: 
潔: 水手竹火
件: 人竹手
券: 火手尸竹
険: 
検: 
限: 弓中日女
現: 一土月山山
減: 水戈竹口
故: 十口人大
個: 人田十口
効: 
厚: 一日弓木
護: 卜口井人水
耕: 手木井井
鉱: 
構: 木井井月
興: 竹難月金
講: 卜口井井月
混: 水日心心
査: 
再: 一土月
災: 女女火
妻: 十中女
採: 手月木
際: 弓中月人火
在: 大中土
財: 月金木竹
罪: 竹山卜井十 * 田中中一卜
雑: 
酸: 一田戈金水
賛: 
支: 十水
志: 土心
枝: 木十水
師: 竹口一中月
資: 戈人月山金 * 一人月山金
飼: 人戈尸一口
識: 卜口卜戈日
示: 一一火
似: 人女戈人
質: 竹十月金 * 竹中月山金
舎: 
謝: 卜口竹竹戈
授: 手月月水
修: 人中人竹
述: 卜戈木 * 卜戈十金
術: 竹人戈金弓
準: 水土十
序: 戈弓戈弓
招: 手尸竹口
承: 弓弓手人
状: 
証: 卜口一卜一
条: 
常: 火月口中月
情: 心手一月
