一: 一
二: 二
三: 三
四: 田儿
五: 五
六: 卜八
七: 七
八: 八
九: 九
十: 十
百: 一日
千: ノ十
日: 日
月: 月
火: 火
水: 水
木: 木
金: 金
土: 土
下: 一卜
上: 卜一
左: 大工
右: 大口
大: 大
中: 中
小: 小
手: 手
足: 口卜人
目: 目
耳: 目ノ
口: 口
人: 人
子: 子
女: 女
男: 田力
名: 夕口
年: 竹二
山: 山
川: 儿中
森: 木木木
林: 木木
田: 田
空: 十儿工
雨: 雨
天: 一大
気: 三メ
夕: 夕
花: 廿人七
草: 廿日十
竹: 竹
犬: 戈大
虫: 中戈
貝: 目八
石: 一口
王: 王
玉: 王戈
力: 力
糸: 糸
車: 十田十
音: 立日
学: 火子
校: 木卜メ
先: 土竹儿
生: 王竹
字: 十子
文: 卜メ
本: 木一
村: 木寸
町: 田丁
白: 竹日
赤: 土火
青: 王月
円: 円
正: 一止
早: 日十
入: 人竹
出: 山山
立: 立
休: 人木
見: 目儿
