亜: つぐ
飢: うえる
鬼: おに
亀: かめ
偽: いつわる、にせ、いつわり
宜: よろしい、よろしく
戯: たわむれる、ざれる、じゃれる
技: わざ
擬: まがい、もどき
欺: あざむく
犠: いけにえ
疑: うたがう
吉: よし
喫: のむ
詰: つめる、つめ、つまる、つむ
却: かえって、しりぞく、しりぞける
脚: あし
虐: しいたげる
逆: さか、さかさ、さからう
丘: おか
久: ひさしい
休: やすむ、やすまる、やすめる
及: およぶ、および、および、およぼす
吸: すう
宮: みや
弓: ゆみ
急: いそぐ、いそぎ、せく
救: すくう
朽: くちる
求: もとめる
泣: なく
球: たま
究: きわめる
窮: きわめる、きわまる、きわまり、きわみ
糾: ただす
給: たまう、たもう
旧: ふるい、もと
牛: うし
去: さる
居: いる、おる
拒: こばむ
拠: よる
挙: あげる、あがる、こぞる
虚: むなしい、うつろ
許: ゆるす、もと
距: へだたる、けづめ
漁: あさる
魚: うお、さかな
享: うける
京: みやこ
供: そなえる、とも
競: きそう、せる、くらべる
共: とも、ともに
叫: さけぶ
境: さかい
峡: はざま
強: つよい、つよまる、つよめる、しいる、こわい
恐: おそれる、おそる、おそろしい、こわい、こわがる
恭: うやうやしい
挟: はさむ、はさまる、わきばさむ、さしはさむ
教: おしえる、おそわる
橋: はし
況: まして、いわんや、おもむき
狂: くるう、くるおしい、くるおしい
狭: せまい、せばめる、せばまる、さ
矯: ためる
胸: むね
脅: おびやかす、おどす、おどかす
興: おこる、おこす
郷: さと
鏡: かがみ
響: ひびく
驚: おどろく、おどろかす
仰: あおぐ、おおせ、おっしゃる、おっしゃる
凝: こる、こらす、こごらす、こごらせる、こごる
暁: あかつき、さとる
業: わざ
局: つぼね
曲: まがる、まげる、くま
極: きわめる、きわまる、きわまり、きわみ、きめる、きまる
玉: たま
僅: わずか
勤: つとめる、つとまる、いそしむ
均: ならす
巾: おおい、ちきり、きれ
錦: にしき
琴: こと
筋: すじ
緊: しめる、しまる
襟: えり
謹: つつしむ
近: ちかい
金: かね
銀: しろがね
九: ここの、ここのつ
苦: くるしい、くるしむ、くるしめる、にがい、にがる
駆: かける、かる
駒: こま
具: そなえる、つぶさに
愚: おろか
虞: おそれ、おもんぱかる、はかる、うれえる、あざむく、あやまる、のぞむ、たのしむ
空: そら、あく、あき、あける、から、すく、すかす、むなしい
偶: たま
遇: あう
隅: すみ
串: くし、つらぬく
屈: かがむ、かがめる
掘: ほる
窟: いわや、いはや、あな
靴: くつ
熊: くま
繰: くる
桑: くわ
勲: いさお
君: きみ
薫: かおる
訓: おしえる、よむ、くんずる
群: むれる、むれ、むら、むらがる
軍: いくさ
郡: こおり
係: かかる、かかり、かかわる
傾: かたむく、かたむける、かたぶく、かたげる、かしげる
兄: あに
啓: ひらく、さとす
型: かた
契: ちぎる
形: かた、かたち、なり
径: みち、こみち、さしわたし、ただちに
恵: めぐむ、めぐみ
慶: よろこび
憩: いこい、いこう
掲: かかげる
携: たずさえる、たずさわる
敬: うやまう
渓: たに、たにがわ
稽: かんがえる、とどめる
経: へる、たつ、たていと、はかる、のり
継: つぐ
茎: くき
蛍: ほたる
計: はかる、はからう
詣: けいする、まいる、いたる、もうでる
警: いましめる
軽: かるい、かろやか、かろんじる
鶏: にわとり、とり
芸: うえる、のり、わざ
迎: むかえる
鯨: くじら
撃: うつ
激: はげしい
隙: すき、すく、すかす、ひま
桁: けた
傑: すぐれる
欠: かける、かく
決: きめる、きまる、さく
潔: いさぎよい
穴: あな
結: むすぶ、ゆう、ゆわえる
血: ち
月: つき
件: くだん
倹: つましい、つづまやか
健: すこやか
兼: かねる
剣: つるぎ
圏: かこい
堅: かたい
嫌: きらう、きらい、いや
建: たてる、たて、たつ
懸: かける、かかる
拳: こぶし
検: しらべる
権: おもり、かり、はかる
犬: いぬ
献: たてまつる
研: とぐ
絹: きぬ
県: かける
肩: かた
見: みる、みえる、みせる
謙: へりくだる
賢: かしこい
軒: のき
遣: つかう、つかわす、やる
鍵: かぎ
険: けわしい
顕: あきらか、あらわれる
験: あかし、しるし、ためす、ためし
元: もと
原: はら
厳: おごそか、きびしい、いかめしい、いつくし
幻: まぼろし
弦: つる
減: へる、へらす
源: みなもと
玄: くろ、くろい
現: あらわれる、あらわす、うつつ、うつつ
舷: ふなばた、ふなべり
言: いう、こと
限: かぎる、かぎり
古: ふるい
呼: よぶ
固: かためる、かたまる、かたまり、かたい
己: おのれ、つちのと、な
庫: くら
戸: と
故: ゆえ、ふるい、もと
枯: かれる、からす
湖: みずうみ
股: また、もも
虎: とら
誇: ほこる
雇: やとう
顧: かえりみる
鼓: つづみ
五: いつ、いつつ
互: たがい、かたみに
午: うま
呉: くれる、くれ
後: のち、うしろ、うしろ、あと、おくれる
悟: さとる
語: かたる、かたらう
誤: あやまる
護: まもる
乞: こう
交: まじわる、まじえる、まじる、まじる、まざる、まぜる、かわす、かわす、こもごも
候: そうろう
光: ひかる、ひかり
公: おおやけ
功: いさお
効: きく、ききめ、ならう
勾: かぎ、まがる
厚: あつい、あか
口: くち
向: むく、むい、むける、むかう、むかい、むこう、むこ、むかい
后: きさき
喉: のど
好: このむ、すく、よい、いい
孔: あな
巧: たくみ、たくむ、うまい
幸: さいわい、さち、しあわせ
広: ひろい、ひろまる、ひろめる、ひろがる、ひろげる
恒: つね、つねに
慌: あわてる、あわただしい
抗: あらがう
拘: かかわる
控: ひかえる、ひかえ
攻: せめる
更: さら、さらに、ふける、ふかす
梗: ふさぐ、やまにれ、おおむね
構: かまえる、かまう
江: え
港: みなと
溝: みぞ
甲: きのえ
硬: かたい
稿: わら、したがき
紅: べに、くれない、あかい
絞: しぼる、しめる、しまる
綱: つな
耕: たがやす
考: かんがえる、かんがえ
肯: がえんじる
荒: あらす、あれる、あらい、すさぶ、すさむ、あらし
行: いく、ゆく、おこなう、おこなう
貢: みつぐ
鉱: あらがね
鋼: はがね
降: おりる、おろす、ふる、ふり、くだる、くだす
項: うなじ
香: か、かおり、かおる
高: たかい、たか、たかまる、たかめる
号: さけぶ、よびな
合: あう、あい、あわす、あわせる
豪: えらい
克: かつ
刻: きざむ、きざみ
告: つげる
国: くに
酷: ひどい
黒: くろ、くろずむ、くろい
腰: こし
骨: ほね
込: こむ、こみ、こめる
頃: ころ、ごろ、しばらく
今: いま
困: こまる
墾: はる、ひらく
恨: うらむ、うらめしい
懇: ねんごろ
根: ね
混: まじる、まざる、まぜる、こむ
痕: あと
魂: たましい、たま
唆: そそる、そそのかす
左: ひだり
差: さす、さし
沙: すな、よなげる
砂: すな
詐: いつわる
鎖: くさり、とざす
座: すわる
挫: くじく、くじける
催: もようす、もよおす
再: ふたたび
最: もっとも、つま
塞: ふさぐ、とりで、みちる
妻: つま
彩: いろどる
採: とる
歳: とし、とせ、よわい
済: すむ、すまない、すます、すくう、なす、わたし、わたる
災: わざわい
采: とる、いろどり
砕: くだく、くだける
祭: まつる、まつり、まつり
斎: とき、つつしむ、ものいみ、いむ、いわう、いつく
細: ほそい、ほそる、こまか、こまかい
菜: な
裁: たつ、さばく
載: のせる、のる
際: きわ
剤: かる、けずる
在: ある
罪: つみ
財: たから
坂: さか
阪: さか
咲: さく
崎: さき、さい、みさき
埼: さき、さい、みさき
作: つくる、つくり
削: けずる、はつる、そぐ
搾: しぼる
柵: しがらむ、しがらみ、とりで、やらい
桜: さくら
冊: ふみ
刷: する、はく
拶: せまる
撮: とる、つまむ
擦: する、すれる、こする、こすれる
札: ふだ
殺: ころす、そぐ
雑: まじえる、まじる
皿: さら
三: み、みつ、みっつ
傘: かさ
参: まいる、まじわる、みつ
山: やま
惨: みじめ、いたむ、むごい
散: ちる、ちらす、ちらかす、ちらかる、ちらばる、ばら、ばらける
桟: かけはし
産: うむ、うまれる、むす
算: そろ
蚕: かいこ、こ
賛: たすける、たたえる
酸: すい
斬: きる
暫: しばらく
残: のこる、のこす、そこなう、のこり
仕: つかえる
伺: うかがう
使: つかう、つかい
刺: さす、ささる、さし、さし、とげ
司: つかさどる
四: よ、よつ、よっつ、よん
士: さむらい
始: はじめる、はじまる
姉: あね、はは
姿: すがた
子: こ、ね
市: いち
師: いくさ
志: シリング、こころざす、こころざし
思: おもう、おもえらく、おぼす
指: ゆび、さす
支: ささえる、つかえる、かう
施: ほどこす
旨: むね、うまい
枝: えだ
止: とまる、とめる、とどめる、とどめ、とどまる、やめる、やむ、よす
死: しぬ
氏: うじ
私: わたくし、わたし
糸: いと
紙: かみ
紫: むらさき
脂: あぶら
至: いたる
視: みる
詞: ことば
詩: うた
試: こころみる、ためす
諮: はかる
賜: たまわる、たまう、たもう
雌: めす、めん
飼: かう
歯: よわい、は、よわい、よわいする
事: こと、つかう、つかえる
似: にる、ひる
侍: さむらい、はべる
児: こ
字: あざ、あざな
寺: てら
慈: いつくしむ
持: もつ、もてる
時: とき
次: つぐ、つぎ
治: おさめる、おさまる、なおる、なおす
示: しめす
耳: みみ
自: みずから、おのずから、おのずと
辞: やめる、いなむ
鹿: しか、か
識: しる、しるす
七: なな、ななつ、なの
叱: しかる
執: とる
失: うしなう、うせる
嫉: そねむ、ねたむ、にくむ
室: むろ
湿: しめる、しめす、うるおう、うるおす
漆: うるし
疾: はやい
質: たち、ただす、もと、わりふ
実: み、みのる、まこと、みの、みちる
芝: しば
舎: やどる
写: うつす、うつる、うつし
射: いる、さす、うつ
捨: すてる
斜: ななめ、はす
煮: にる、にえる、にやす
社: やしろ
者: もの
謝: あやまる
車: くるま
遮: さえぎる
蛇: へび
邪: よこしま
借: かりる
尺: さし
酌: くむ
釈: とく、すてる、ゆるす
若: わかい、もしくわ、もし、もしくは、ごとし
寂: さび、さびしい、さびれる、さみしい
弱: よわい、よわる、よわまる、よわめる
主: ぬし、おも、あるじ
取: とる、とり、とり
守: まもる、まもり、もり、かみ
手: て
朱: あけ
殊: こと
狩: かる、かり
珠: たま
種: たね
腫: はれる、はれ、はらす、はれもの
趣: おもむき、おもむく
酒: さけ
首: くび
受: うける、うかる
呪: まじなう、のろい、まじない、のろう
寿: ことぶき、ことぶく、ことほぐ
授: さずける、さずかる
樹: き
囚: とらわれる
収: おさめる、おさまる
周: まわり
宗: むね
就: つく、つける
州: す
修: おさめる、おさまる
愁: うれえる、うれい
拾: ひろう
秀: ひいでる
秋: あき、とき
終: おわる、おわる、おえる、つい、ついに
習: ならう、ならい
臭: くさい、におう、におい
舟: ふね
衆: おおい
襲: おそう、かさね
蹴: ける
酬: むくいる
集: あつまる、あつめる、つどう
醜: みにくい、しこ
住: すむ、すまう
充: あてる、みたす
十: とお、と、そ
従: したがう、したがえる、より
柔: やわらか、やわらかい、やわ、やわら
汁: しる、つゆ
渋: しぶ、しぶい、しぶる
獣: けもの、けだもの
縦: たて
重: え、おもい、おもり、おもなう、かさねる、かさなる、おも
銃: つつ
宿: やど、やどる、やどす
淑: しとやか
祝: いわう
縮: ちぢむ、ちぢまる、ちぢめる、ちぢれる、ちぢらす
粛: つつしむ
熟: うれる
出: でる、だす、いでる、いだす
術: すべ
述: のべる
春: はる
瞬: またたく、まじろぐ
準: じゅんじる、じゅんずる、なぞらえる、のり、ひとしい、みずもり
潤: うるおう、うるおす、うるむ
盾: たて
